Code,Longitude,Latitude,Network,Name,Data From,Data To,Operational Currently
M_MFI,-79.96251,-2.14152,M,ESPOL-INAMHI,,,No
M_MFI,-79.03892,-2.89092,M,U CUENCA-INAMHI,,,No
M0001,-78.4052383,0.2569375,M,INGUINCHO,1964,2022,Yes
M0002,-78.37043333,-0.231788889,M,LA TOLA,1980,2022,Yes
M0003,-78.55512778,-0.365925,M,IZOBAMBA,1964,2022,Yes
M0004,-78.59456389,-1.019983333,M,RUMIPAMBA SALCEDO,1976,2022,Yes
M0005,-80.45947319,-1.037590241,M,PORTOVIEJO UTM,1964,2019,No
M0006,-79.49290278,-1.074336111,M,PICHILINGUE,1963,2021,Yes
M0007,-75.40302778,-0.920027778,M,NUEVO ROCAFUERTE,1976,2021,Yes
M0008,-77.95827778,-1.505666667,M,PUYO,1960,2021,Yes
M0009,-78.324722,-0.059861,M,LA VICTORIA INERHI,1984,2018,No
M0010,-78.2825,-0.05972,M,MONTESERRIN,1984,2001,No
M0011,-78.31667,-0.08389,M,URAPAMBA,1984,1987,No
M0012,-80.0818,-3.496824979,M,LA CUCA,1982,2016,Yes
M0013,-79.40277778,-0.663611111,M,BABA DJ TOACHI-DCP,,,No
M0014,-78.96666667,-1.583333333,M,GUARANDA-DCP,,,No
M0015,-76.38333333,-0.133333333,M,TARAPOA-DCP,,,No
M0016,-76.98055556,-2.061111111,M,MONTALVO-DCP,,,No
M0017,-79.75,-1.549166667,M,VINCES EN VINCES-DCP,,,No
M0018,-78.55,-0.366666667,M,IZOBAMBA-DCP,,,No
M0019,-77.5,-2.38333,M,TAISHA,1965,1972,No
M0020,-76.61667,-0.4,M,LIMONCOCHA,1966,1980,No
M0021,-78.227583,0.353694,M,ATUNTAQUI,1963,2018,No
M0022,-78.235,0.05306,M,TABACUNDO H.MOJANDA,1964,1993,No
M0023,-78.0775,0.137777778,M,OLMEDO-PICHINCHA,1975,2018,No
M0024,-78.48773,-0.1783,M,IÑAQUITO,1975,2019,Yes
M0025,-79.38027778,-0.024777778,M,LA CONCORDIA,1964,2022,Yes
M0026,-79.34891667,-0.493,M,PUERTO ILA,1964,2022,Yes
M0027,-79.206206,-0.248611,M,SANTO DOMINGO AEROPUERTO,1964,2020,No
M0028,-78.62333,-1.25,M,AMBATO-GRANJA,1964,1992,No
M0029,-78.409351,-1.395401,M,BAÑOS,1917,2018,No
M0030,-78.992389,-1.641167,M,SAN SIMON,1963,2018,No
M0031,-78.94519444,-2.552208333,M,CAÑAR,1964,2022,Yes
M0032,-79.27194,-3.25114,M,SANTA ISABEL INAMHI,1958,2012,No
M0033,-79.20338611,-4.037538889,M,LOJA - LA ARGELIA,1964,2021,Yes
M0034,-80.37222,-1.20361,M,SANTA ANA INAMHI,1964,1984,No
M0035,-80.48778,-0.83194,M,CHARAPOTO,1972,1984,No
M0036,-79.56361,-1.82806,M,ISABEL MARIA,1964,1986,No
M0037,-79.60038056,-2.118052778,M,MILAGRO (INGENIO VALDEZ),1964,2021,Yes
M0038,-79.37417,-2.37417,M,MANUEL J.CALLE(V.FORESTAL),1966,1994,No
M0039,-79.13333,-2.19556,M,BUCAY,1966,2000,No
M0040,-79.76888889,-3.321944444,M,PASAJE,1958,2017,No
M0041,-77.958762,-1.688226,M,SANGAY(P.SANTA ANA),1964,2019,Yes
M0042,-80.56667,-1.33333,M,JIPIJAPA,1982,1987,No
M0043,-78.49583,-0.64028,M,MARISCAL SUCRE INAMHI,1963,1982,No
M0044,-80.55722,-1.62556,M,PEDRO PABLO GOMEZ,1970,1988,No
M0045,-78.62972222,-2.716111111,M,PALMAS-AZUAY,1974,2018,No
M0046,-78.95,0.18944,M,PACHIJAL MASHPI,1977,1992,No
M0047,-80.73389,-0.93417,M,MANTA INOCAR,1964,1999,No
M0048,-77.91667,-1.6,M,ESPOCH 32,1982,1985,No
M0049,-80.43333,-1.55,M,PAJAN,1982,1987,No
M0050,-78.55,-2.57694,M,ARENALES-COLA DE SAN PABLO,1964,1992,No
M0051,-79.48068,-1.79632,M,BABAHOYO-UTB,1958,2019,No
M0052,-76.93333333,-0.45,M,EL COCA AEROPUERTO,,,No
M0053,-78.1,0.33333,M,IBARRA AEROPUERTO - DAC,1955,1984,No
M0054,-78.502556,-0.215139,M,QUITO-OBSERVATORIO,1982,1984,No
M0055,-78.48713889,-0.141105556,M,QUITO AEROPUERTO- PARQUE BICENTENARIO,1983,2019,Yes
M0056,-79.88333,-2.15333,M,GUAYAQUIL AEROPUERTO,1964,1989,No
M0057,-78.65,-1.65,M,RIOBAMBA AEROPUERTO,1945,1986,No
M0058,-79.62444,0.97917,M,ESMERALDAS-TACHINA,1965,2003,No
M0059,-77.7,0.81667,M,TULCAN AEROPUERTO,1945,1989,No
M0060,-79.37083,-3.99278,M,LA TOMA-CATAMAYO,1958,1985,No
M0061,-76.88333333,0.1,M,LAGO AGRIO AEROPUERTO,,,No
M0062,-78.11806,-2.29444,M,MACAS AEROPUERTO,1979,1979,No
M0063,-78.06667,-1.5,M,PASTAZA AEROPUERTO,1960,1985,No
M0064,-78.61556,-0.91333,M,LATACUNGA AEROPUERTO,1956,1986,No
M0065,-79.93889,-4.37444,M,MACARA AEROPUERTO,1958,1986,No
M0066,-78.56667,-1.2,M,AMBATO AEROPUERTO,1965,1986,No
M0067,-78.98333,-2.88667,M,CUENCA AEROPUERTO,1965,1992,No
M0068,-75.53333,-0.76667,M,TIPUTINI AEROPUERTO,1965,1979,No
M0069,-80.98333,-2.2,M,SALINAS INOCAR,1964,1993,No
M0070,-77.81917,-0.91694,M,TENA - ANTIGUO AEROPUERTO,1964,2000,No
M0071,-90.28333,-0.43333,M,SEYMOUR AEROPUERTO,1965,1979,No
M0072,-79.96111,-3.26389,M,MACHALA AEROPUERTO,1966,1989,No
M0073,-79.68056,-2.26667,M,TAURA AEROPUERTO,1965,1980,No
M0074,-80.68333,-0.95,M,MANTA AEROPUERTO,1964,1989,No
M0075,-79.90083,-2.26694,M,GUAYAQUIL INOCAR,1964,1999,No
M0076,-80.98972,-2.2,M,SALINAS-GUAYAS,1964,1990,No
M0077,-75.86667,0.11667,M,PUTUMAYO AEROPUERTO,1965,1984,No
M0078,-76.83333,-1.5,M,CURARAY AEROPUERTO,1964,1970,No
M0079,-78.1625,-2.48833,M,SUCUA AEROPUERTO,1965,1978,No
M0080,-78.53333333,-3.416666667,M,GUALAQUIZA AEROPUERTO,,,No
M0081,-78.46666667,-3.533333333,M,BOMBOIZA,,,No
M0082,-77.81389,0.73806,M,CHALPATAN,1984,2006,No
M0083,-77.77,0.55056,M,CUASMAL-PIARTAL,1984,1984,No
M0084,-77.87528,0.53556,M,BOLIVAR-CARCHI INERHI,1984,2006,No
M0085,-78.14889,0.46306,M,SALINAS-IMBABURA INERHI,1984,2000,No
M0086,-78.040778,0.494167,M,SAN VICENTE DE PUSIR,1984,2015,No
M0087,-78.57222,-0.77639,M,MULALO,1958,1984,No
M0088,-78.70778,-0.95333,M,PUJILI(4 ESQUINAS),1965,1984,No
M0089,-78.67,-1.29667,M,EL QUINCHE-TUNGURAHUA,1984,1984,No
M0090,-79.35,-1.98333,M,MATA DE CACAO,1984,1984,No
M0091,-79.48333,-2.0,M,SIMON BOLIVAR,1965,1984,No
M0092,-79.48667,-2.09833,M,MARISCAL SUCRE INERHI,1984,1984,No
M0093,-79.31666667,-2.066666667,M,INES MARIA,,,No
M0094,-78.65139,-1.675,M,LA GRANJA-RIOBAMBA,1984,1984,No
M0095,-78.575,-1.65833,M,QUIMIAG,1984,1984,No
M0096,-78.61667,-1.63333,M,SAN GERARDO-CHIMBORAZO,1973,1984,No
M0097,-78.48333,-1.56667,M,BAYUSHIG,1984,1984,No
M0098,-77.96028,0.105,M,SAN MARCOS,1984,1984,No
M0099,-77.97694,0.43194,M,CARPUELA,1984,1984,No
M0100,-78.2,0.475,M,TUMBABIRO INERHI,,,No
M0101,-77.61166667,0.684166667,M,EL CARMELO,1964,2018,No
M0102,-77.944965,0.618999,M,EL ANGEL,1951,2018,Yes
M0103,-77.821955,0.599815,M,SAN GABRIEL,1938,2022,Yes
M0104,-78.0275,0.553055556,M,MIRA-FAO GRANJA LA PORTADA,1969,2018,No
M0105,-78.250059,0.243424,M,OTAVALO,1946,2018,Yes
M0106,-78.44972,0.86806,M,LITA,1963,2012,No
M0107,-78.210806,0.511528,M,CAHUASQUI-FAO,1979,2017,No
M0108,-78.3,0.383333333,M,PERIBUELA,,,No
M0109,-78.25,0.216666667,M,ESPEJO,,,No
M0110,-78.19444,0.21444,M,SAN PABLO DEL LAGO,1962,1992,No
M0111,-78.354017,0.027,M,MALCHINGUI INAMHI,1964,2006,No
M0112,-78.46889,-0.26722,M,CONOCOTO,1964,1994,No
M0113,-78.52527778,-0.388333333,M,UYUMBICHO,1964,2018,No
M0114,-78.41389,-0.23333,M,TUMBACO,1964,2012,No
M0115,-78.43694,-0.01028,M,SAN ANTONIO DE PICHINCHA,1972,1997,No
M0116,-78.758056,-0.230139,M,CHIRIBOGA,1964,2018,No
M0117,-78.540556,-0.524167,M,MACHACHI,1964,1998,No
M0118,-78.5,-0.35,M,INIAP-SUPLEMENTARIA PORCINOS,1979,2000,No
M0119,-79.19916667,0.119444444,M,PUERTO QUITO-LA CEIBA,,,No
M0120,-78.58123,-0.62317,M,COTOPAXI-CLIRSEN,1964,2017,No
M0121,-78.43795,-0.66354,M,EL REFUGIO-COTOPAXI,1973,2000,Yes
M0122,-78.99441111,-0.947297222,M,PILALO,1964,2018,No
M0123,-79.08194444,-1.135077778,M,EL CORAZON,1964,2019,No
M0124,-79.25366667,-0.909027771,M,SAN JUAN LA MANA,1964,2022,Yes
M0125,-78.68778,-1.04889,M,PUJILI-H.S.ANTONIO DE S.ALEGRE,1964,1987,No
M0126,-78.509222,-1.308639,M,PATATE,1948,2016,No
M0127,-78.554956,-1.172414,M,PILLARO,1964,2018,No
M0128,-78.612733,-1.35615,M,PEDRO FERMIN CEVALLOS(COLEGIO),1978,2016,No
M0129,-79.25584167,-1.630497213,M,CALUMA,1964,2015,No
M0130,-79.06682222,-1.980111111,M,CHILLANES,1963,2018,No
M0131,-79.068944,-1.823194,M,SAN PABLO DE ATENAS,1969,2014,No
M0132,-79.16667,-1.77111,M,BALZAPAMBA,1964,1998,No
M0133,-78.64785278,-1.734016667,M,GUASLAN,1963,2019,No
M0134,-78.71667,-1.93333,M,GUAMOTE,1963,2006,No
M0135,-78.78167,-2.195,M,PACHAMAMA-TIXAN,1964,2005,No
M0136,-78.925422,-2.278032,M,CHUNCHI,1964,2016,No
M0137,-78.89365833,-2.710344444,M,BIBLIAN,1976,2018,No
M0138,-78.76277778,-2.8,M,PAUTE,1964,2016,No
M0139,-78.780575,-2.898138889,M,GUALACEO,1964,2019,No
M0140,-78.87472,-2.87028,M,UCUBAMBA,1969,2005,No
M0141,-79.07305556,-2.732777778,M,EL LABRADO,1964,2021,Yes
M0142,-79.23212778,-3.612113889,M,SARAGURO,1959,2016,No
M0143,-79.273342,-4.215769,M,MALACATOS,1963,2018,No
M0144,-79.21861667,-4.261222195,M,VILCABAMBA,1968,2000,No
M0145,-79.242517,-4.313117,M,QUINARA INAMHI,1981,2018,No
M0146,-79.55433333,-4.333388889,M,CARIAMANGA,1950,2019,Yes
M0147,-79.17544,-4.36775,M,YANGANA,1963,2018,No
M0148,-79.95099444,-4.104427778,M,CELICA,1963,2018,No
M0149,-79.419622,-4.229569,M,GONZANAMA,1963,2018,No
M0150,-79.43027778,-4.584686088,M,AMALUZA 1,1975,2018,Yes
M0151,-80.232453,-4.3037,M,ZAPOTILLO,1963,2020,No
M0152,-79.76611,-4.04194,M,ZAPOTEPAMBA,1982,1987,No
M0153,-80.02084,0.60958,M,MUISNE,1964,2018,No
M0154,-78.950775,0.862242,M,CAYAPAS,1964,2019,No
M0155,-79.41667,-1.26667,M,CALABI CEDEGE,1984,1995,No
M0156,-79.468824,0.316144,M,QUININDE,1964,2019,Yes
M0157,-79.6,-2.46667,M,CHURUTE,1984,1984,No
M0158,-79.6175,0.88611,M,MUTILE-U.ESMERALDAS,1973,1982,No
M0159,-80.46806,-1.40194,M,LA NARANJA,1964,1983,No
M0160,-79.42694444,-0.259722222,M,EL CARMEN,1977,2019,Yes
M0161,-79.90694,-0.40222,M,FLAVIO ALFARO,1964,1991,No
M0162,-80.036512,-0.6308,M,CHONE-U.CATOLICA,1964,2018,Yes
M0163,-80.1782,-0.570711,M,BOYACA,1964,2018,No
M0164,-80.16111,-0.84444,M,CALCETA,1964,1985,No
M0165,-80.446786,-0.926744,M,ROCAFUERTE,1964,2016,No
M0166,-80.20695278,-1.394711103,M,OLMEDO,1964,2016,No
M0167,-80.26472,-0.19694,M,JAMA,1964,2014,No
M0168,-80.05022222,0.063805586,M,PEDERNALES,1967,1996,Yes
M0169,-80.626189,-1.474547,M,JULCUY,1970,2018,No
M0170,-80.77556,-1.51833,M,PUERTO LOPEZ,1977,1998,No
M0171,-80.40117778,-1.592838889,M,CAMPOSANO #2,1977,2018,No
M0172,-79.52878,-1.52125,M,PUEBLO VIEJO,1976,2015,No
M0173,-80.357642,-2.501383,M,PLAYAS-GRAL.VILLAMIL,1963,2013,No
M0174,-80.84833,-2.32444,M,ANCON,1964,2005,No
M0175,-80.36666667,-2.4,M,EL PROGRESO-GUAYAS,1982,2009,No
M0176,-79.617608,-2.661583,M,NARANJAL,1964,2017,No
M0177,-79.64305556,-2.254444444,M,BOLICHE,,,No
M0178,-79.983333,-1.983333,M,LA TOMA EMAP-GUAYAS,1970,1989,No
M0179,-80.05389,-3.54083,M,ARENILLAS,1964,2011,No
M0180,-79.61155556,-3.697544444,M,ZARUMA,1963,2018,No
M0181,-79.90889,-3.78278,M,MARCABELI,1963,1986,No
M0182,-80.18861,-3.62056,M,CARCABON,1963,1982,No
M0183,-79.92944,-3.45611,M,SANTA ROSA-EL ORO,1960,1994,No
M0184,-79.75694,-3.07944,M,PAGUA,1973,1999,No
M0185,-79.78333333,-3.1,M,MACHALA-UTM -  PAGUA,1947,2018,No
M0186,-76.98806,-0.46528,M,EL COCA INAMHI,1966,1985,No
M0187,0.0,0.0,M,YARUQUI-ESTACION MECANICA,,,No
M0188,-78.1414,-0.380616661,M,PAPALLACTA,1963,2018,Yes
M0189,-78.578164,-3.40158,M,GUALAQUIZA,1977,2018,No
M0190,-78.742308,-3.774442,M,YANZATZA,1976,2016,No
M0191,-90.302194,-0.743833,M,CHARLES DARWIN INAMHI,1964,2021,Yes
M0192,-90.328111,-0.692417,M,BELLAVISTA-ISLA S.CRUZ,1964,2020,Yes
M0193,-89.56667,-0.9,M,EL PROGRESO-SOCAVON,1964,1996,No
M0194,-90.95675,-0.96111,M,PUERTO VILLAMIL-ISLA ISABELA,1964,2004,No
M0195,-80.0,-3.25667,M,PUERTO BOLIVAR,1952,1999,No
M0196,-79.32889,-3.33194,M,MINAS DE HUASCACHACA,1964,1991,No
M0197,-78.93497222,-2.809388889,M,JACARIN (SOLANO),1973,2018,No
M0198,-78.91667,-0.37028,M,PALO QUEMADO,1971,1993,No
M0199,-79.00667,-2.58667,M,PATOCOCHA,1984,1991,No
M0200,-76.92583,-0.07611,M,SANTA CECILIA,1973,1991,No
M0201,-77.66667,-0.33333,M,EL CHACO INECEL,1976,1993,No
M0202,-77.91722,-1.10056,M,JATUNYACU,1982,1989,No
M0203,-77.52931666,-0.045769443,M,REVENTADOR,1973,2016,Yes
M0204,-78.47556,-3.13778,M,SAN MIGUEL DE CONCHAY,1982,1993,No
M0205,-77.57611,0.08694,M,SAN RAFAEL-NAPO,1975,2000,No
M0206,-78.39861,-2.56667,M,GUARUMALES(PATIO DE MANIOBRAS),1974,1996,No
M0207,-78.95,-4.09361,M,ZAMORA,1964,1993,No
M0208,-77.65,-0.2,M,RIO SALADO-INECEL,1977,1993,No
M0209,-78.99056,-0.31806,M,ALLURIQUIN INECEL,1976,1993,No
M0210,-78.40167,0.00056,M,VINDOBONA,1964,1993,No
M0211,-78.53333,0.11667,M,LA VIÑA DE CHESPI,1978,1990,No
M0212,-78.73556,-0.04778,M,MINDO INECEL,1976,1992,No
M0213,-78.66944,0.19278,M,LA PERLA,1976,1992,No
M0214,-78.42194,0.11222,M,PERUCHO INECEL,1975,1993,No
M0215,-77.86583,-0.62611,M,BAEZA,1973,1993,No
M0216,-78.89,0.01667,M,SAN MIGUEL DE LOS BANCOS,1975,1992,No
M0217,-78.56830556,-2.577777778,M,PEÑAS COLORADAS,1974,2016,No
M0218,-79.30138889,-2.256666667,M,INGENIO SAN CARLOS (BATEY),1966,2014,No
M0219,-78.41667,-1.03556,M,PISAYAMBO-TALATAG,1968,1989,No
M0220,-78.36667,-1.35,M,AGOYAN EN LA PRESA,1982,1993,No
M0221,-89.61430833,-0.904058333,M,SAN CRISTOBAL-GALAPAGOS,1958,2018,Yes
M0222,-78.61583,-2.6125,M,INGAPATA,1982,1989,No
M0223,-80.57917,-2.20361,M,EL AZUCAR,1966,2008,No
M0224,-78.84167,1.26833,M,SAN LORENZO,1953,1999,No
M0225,-78.97972,1.08111,M,BORBON,1965,2000,No
M0226,-78.998333,-1.614444,M,LAGUACOTO - GUARANDA,,,No
M0227,-79.9,-1.36083,M,BALZAR,1964,1981,No
M0228,-79.90139,-2.73417,M,PUNA,1972,2013,No
M0229,-80.05,-2.233333333,M,CHONGON-EST.MECANICA DAC,,,No
M0230,-79.4825,-2.36444,M,BOCATOMA-CULEBRAS,1965,1984,No
M0231,-79.28583,-2.44528,M,LA PUNTILLA-PANCHO NEGRO,1966,1984,No
M0232,-80.082928,-3.882569,M,PUENTE PUYANGO,1981,2016,No
M0233,-79.58333,-2.38333,M,PARRAQUETE GRANDE,1984,1984,No
M0234,-79.08527778,-2.419444444,M,CHONTAMARCA,,,No
M0235,-79.05194444,-3.334722222,M,NABON INERHI,,,No
M0236,-79.65,-3.71667,M,EL TABLON,1984,1984,No
M0237,-79.95,-4.38333,M,MACARA INERHI,1984,1984,No
M0238,-80.00194444,-3.627777778,M,TAHUIN-REPRESA,1980,1991,No
M0239,-79.643064,-3.751103,M,EL SALADO-PREDESUR,1983,2018,No
M0240,-79.55556,-4.05,M,LAS COCHAS,1981,1986,No
M0241,-79.40272222,-4.293399979,M,QUILANGA,1971,2018,No
M0242,-78.94778,-2.43639,M,CARSHAO,1984,1991,No
M0243,-78.56667,-1.58333,M,PUNGALES,1984,2001,No
M0244,-78.77222,-1.29583,M,TAMBOLOMA,1984,1990,No
M0245,-80.65305556,-1.912777778,M,EL SUSPIRO,1984,2018,No
M0246,-80.10083333,-2.234722222,M,CHONGON,1986,2008,No
M0247,-79.64305556,-0.909444444,M,MURUCUMBA,1989,2018,No
M0248,-79.64056,-0.47611,M,DOS HERMANAS,1984,2008,No
M0249,-80.19167,-1.73333,M,VALLE DE LA VIRGEN,1986,2008,No
M0250,-79.97778,-1.7,M,LA CAPILLA CEDEGE,1981,2008,No
M0251,-79.27056,-0.46472,M,EL BOLO,1986,1989,No
M0252,-79.11833,-0.7,M,PUCAYACU,1984,1995,No
M0253,-79.28556,-1.97417,M,MONSERRATE,1987,1992,No
M0254,0.0,0.0,M,PUENTE NEGRO,,,No
M0255,-79.725,-1.95,M,SAMBORONDON,1984,1988,No
M0256,-79.45638889,-1.819722222,M,CHILINTOMO,,,No
M0257,-79.97972,-1.82861,M,DAULE(COL.AGRONOMICO),1964,1988,No
M0258,-78.60553889,-1.3671,M,QUEROCHACA,1979,2022,Yes
M0259,-80.1425,-1.87889,M,ISIDRO AYORA,1964,1978,No
M0260,-78.34139,-0.225,M,PIFO,2004,2008,No
M0261,-79.39306,-1.71417,M,CLEMENTINA HDA.,1962,1993,No
M0262,-80.01639,-1.55056,M,COLIMES DE BALZAR CEDEGE,1986,2017,No
M0263,-79.39417,-2.10806,M,SAN ANTONIO-BENEFICIO CACAO,1970,1974,No
M0264,-78.32027778,-0.154166667,M,YARUQUI INERHI,,,No
M0265,-78.39,-0.19583,M,SANTA ROSA-TUMBACO,2008,2008,No
M0266,-78.10833,-2.30833,M,MACAS INAMHI,1973,1977,No
M0267,-78.345,0.086388889,M,MALCHINGUI INERHI,,,No
M0268,-78.59972222,-1.057222222,M,LA FRICIA,,,No
M0269,-79.63528,0.98528,M,ESMERALDAS INOCAR(LAS PALMAS),1964,1999,No
M0270,-80.5,-0.78333,M,SAN JACINTO,1985,1990,No
M0271,-79.625,-1.66667,M,ISLA DE BEJUCAL,1987,1995,No
M0272,-79.56444,-0.27778,M,LA LETRA-BRAMADORA,2003,2006,No
M0273,-79.08333333,-2.871111111,M,MACHANGARA,,,No
M0274,-80.47055556,-1.0375,M,PORTOVIEJO AEROPUERTO,,,No
M0275,-80.73166667,-2.055,M,PROYECTO MONTE VERDE,,,No
M0276,-79.48333,-0.83333,M,PILARCITA,1987,1994,No
M0277,-79.45,-0.7,M,PITITA,1987,1995,No
M0278,-79.44,-3.304722222,M,SANTA ISABEL INERHI,,,No
M0279,-76.38333,-0.13333,M,TARAPOA AEROPUERTO,1974,1978,No
M0280,-79.74167,-1.55528,M,VINCES CEDEGE,1984,1989,No
M0281,-79.48,-1.48944,M,VENTANAS CEDEGE,1987,1991,No
M0282,-78.34333,0.25583,M,TANGALI,1985,1987,No
